iter	Passed	Remaining
180	14995	67851
181	15083	67794
182	15167	67715
183	15248	67625
184	15329	67532
185	15418	67476
186	15502	67397
187	15583	67305
188	15666	67224
189	15749	67142
190	15832	67059
191	15916	66980
192	15998	66897
193	16083	66821
194	16163	66726
195	16244	66636
196	16326	66547
197	16411	66473
198	16497	66404
199	16584	66337
200	16666	66251
201	16761	66214
202	16850	66158
203	16934	66078
204	17015	65985
205	17095	65892
206	17176	65800
207	17259	65720
208	17343	65641
209	17428	65562
210	17515	65494
211	17596	65404
212	17680	65325
213	17763	65244
214	17846	65160
215	17928	65073
216	18011	64989
217	18091	64895
218	18172	64805
219	18254	64718
220	18338	64641
221	18423	64565
222	18503	64470
223	18591	64406
224	18671	64311
225	18751	64219
226	18834	64135
227	18915	64046
228	18998	63965
229	19082	63884
230	19164	63798
231	19247	63717
232	19330	63632
233	19414	63552
234	19496	63467
235	19581	63390
236	19660	63295
237	19744	63215
238	19824	63122
239	19903	63028
240	19986	62945
241	20069	62863
242	20149	62770
243	20233	62689
244	20316	62607
245	20398	62522
246	20482	62443
247	20567	62366
248	20651	62287
249	20733	62199
250	20813	62109
251	20893	62018
252	20977	61936
253	21060	61856
254	21145	61779
255	21229	61696
256	21311	61611
257	21396	61534
258	21478	61449
259	21560	61363
260	21640	61272
261	21724	61192
262	21808	61114
263	21898	61050
264	21983	60973
265	22066	60890
266	22149	60806
267	22230	60719
268	22313	60636
269	22395	60551
270	22478	60469
271	22564	60391
272	22649	60314
273	22733	60236
274	22816	60153
275	22897	60064
276	22981	59983
277	23066	59906
278	23149	59822
279	23230	59734
280	23310	59646
281	23392	59559
282	23477	59482
283	23564	59408
284	23648	59328
285	23730	59243
286	23812	59157
287	23892	59068
288	23973	58979
289	24058	58901
290	24141	58819
291	24222	58730
292	24305	58647
293	24388	58564
294	24474	58490
295	24558	58408
296	24641	58327
297	24725	58244
298	24807	58160
299	24894	58086
300	24979	58008
301	25061	57923
302	25149	57851
303	25230	57764
304	25314	57683
305	25397	57600
306	25480	57518
307	25565	57439
308	25646	57351
309	25729	57269
310	25810	57181
311	25890	57091
312	25974	57011
313	26057	56927
314	26137	56839
315	26219	56753
316	26301	56667
317	26381	56579
318	26461	56489
319	26543	56404
320	26625	56319
321	26707	56234
322	26786	56144
323	26869	56061
324	26952	55977
325	27032	55889
326	27117	55810
327	27198	55723
328	27282	55642
329	27364	55558
330	27444	55470
331	27526	55383
332	27613	55309
333	27693	55221
334	27775	55136
335	27868	55072
336	27950	54988
337	28036	54911
338	28120	54831
339	28203	54747
340	28288	54669
341	28371	54585
342	28451	54497
343	28532	54411
344	28613	54324
345	28696	54241
346	28779	54158
347	28864	54079
348	28948	53998
349	29032	53918
350	29118	53840
351	29202	53759
352	29285	53675
353	29367	53591
354	29451	53510
355	29533	53425
356	29614	53338
357	29693	53249
358	29775	53164
359	29858	53082
360	29939	52995
361	30023	52915
362	30107	52832
363	30191	52752
364	30271	52663
365	30354	52580
366	30436	52496
367	30517	52409
368	30599	52325
369	30682	52242
370	30765	52159
371	30846	52073
372	30927	51987
373	31008	51901
374	31094	51824
375	31178	51743
376	31261	51659
377	31343	51575
378	31425	51491
379	31508	51408
380	31591	51326
381	31677	51248
382	31762	51168
383	31844	51084
384	31925	50997
385	32009	50917
386	32093	50834
387	32177	50753
388	32262	50674
389	32346	50592
390	32427	50507
391	32511	50426
392	32592	50340
393	32673	50254
394	32756	50171
395	32840	50090
396	32926	50011
397	33009	49928
398	33089	49840
399	33171	49757
400	33254	49674
401	33339	49594
402	33423	49512
403	33519	49449
404	33603	49367
405	33689	49289
406	33774	49209
407	33853	49121
408	33935	49036
409	34018	48953
410	34099	48867
411	34185	48789
412	34267	48704
413	34350	48621
414	34430	48533
415	34516	48456
416	34603	48378
417	34685	48294
418	34770	48213
419	34852	48128
420	34935	48046
421	35015	47959
422	35096	47873
423	35182	47794
424	35267	47715
425	35349	47630
426	35431	47546
427	35519	47469
428	35601	47385
429	35683	47301
430	35766	47218
431	35847	47133
432	35927	47046
433	36008	46960
434	36092	46878
435	36176	46796
436	36260	46715
437	36339	46627
438	36423	46545
439	36506	46462
440	36586	46376
441	36671	46295
442	36754	46213
443	36837	46129
444	36916	46041
445	36999	45958
446	37083	45877
447	37170	45799
448	37253	45716
449	37335	45632
450	37417	45547
451	37499	45463
452	37580	45378
453	37661	45293
454	37746	45213
455	37829	45130
456	37911	45045
457	37995	44964
458	38083	44887
459	38163	44800
460	38245	44716
461	38333	44639
462	38414	44554
463	38499	44473
464	38581	44389
465	38666	44309
466	38748	44224
467	38829	44139
468	38909	44053
469	38995	43973
470	39081	43893
471	39165	43812
472	39249	43730
473	39338	43654
474	39421	43570
475	39506	43489
476	39587	43405
477	39672	43324
478	39754	43240
479	39832	43151
480	39914	43067
481	39992	42979
482	40076	42897
483	40154	42809
484	40237	42726
485	40319	42642
486	40399	42556
487	40484	42475
488	40566	42391
489	40654	42313
490	40740	42233
491	40822	42149
492	40910	42072
493	40997	41993
494	41080	41910
495	41162	41826
496	41245	41743
497	41329	41661
498	41413	41579
499	41500	41500
500	41582	41416
501	41665	41333
502	41743	41245
503	41827	41163
504	41910	41080
505	41994	40998
506	42084	40922
507	42163	40835
508	42246	40752
509	42340	40679
510	42430	40603
511	42515	40522
512	42602	40443
513	42690	40365
514	42780	40288
515	42870	40211
516	42960	40135
517	43064	40071
518	43149	39989
519	43230	39905
520	43316	39824
521	43396	39738
522	43477	39653
523	43562	39571
524	43644	39488
525	43727	39405
526	43813	39324
527	43896	39241
528	43975	39154
529	44057	39069
530	44144	38990
531	44227	38906
532	44309	38823
533	44393	38740
534	44471	38652
535	44553	38568
536	44633	38483
537	44715	38398
538	44800	38317
539	44885	38235
540	44969	38153
541	45060	38077
542	45186	38029
543	45286	37960
544	45370	37877
545	45451	37792
546	45535	37710
547	45626	37633
548	45723	37561
549	45811	37482
550	45905	37407
551	45995	37329
552	46083	37250
553	46174	37172
554	46257	37089
555	46346	37010
556	46430	36927
557	46517	36847
558	46601	36764
559	46683	36679
560	46764	36594
561	46847	36511
562	46927	36425
563	47008	36339
564	47091	36256
565	47174	36172
566	47257	36089
567	47340	36005
568	47419	35918
569	47503	35835
570	47588	35753
571	47680	35676
572	47762	35592
573	47846	35509
574	47926	35424
575	48008	35339
576	48090	35255
577	48172	35171
578	48257	35088
579	48343	35007
580	48428	34925
581	48510	34841
582	48593	34757
583	48677	34674
584	48766	34595
585	48850	34511
586	48933	34428
587	49013	34342
588	49098	34260
589	49183	34178
590	49268	34095
591	49352	34013
592	49433	33928
593	49514	33843
594	49596	33759
595	49675	33672
596	49758	33589
597	49840	33504
598	49922	33420
599	50008	33338
600	50087	33252
601	50168	33167
602	50251	33084
603	50333	32999
604	50414	32915
605	50497	32831
606	50581	32748
607	50666	32666
608	50751	32584
609	50835	32501
610	50918	32417
611	51001	32334
612	51084	32250
613	51166	32166
614	51250	32083
615	51332	31999
616	51413	31914
617	51496	31831
618	51578	31747
619	51658	31661
620	51744	31579
621	51830	31498
622	51910	31412
623	51990	31327
624	52074	31244
625	52153	31158
626	52233	31073
627	52313	30988
628	52406	30910
629	52486	30825
630	52567	30740
631	52647	30655
632	52730	30572
633	52817	30491
634	52901	30407
635	52986	30325
636	53064	30239
637	53143	30153
638	53228	30071
639	53311	29987
640	53394	29904
641	53483	29823
642	53562	29738
643	53643	29653
644	53724	29569
645	53807	29485
646	53890	29402
647	53971	29317
648	54055	29234
649	54134	29149
650	54217	29066
651	54304	28984
652	54384	28899
653	54463	28814
654	54545	28729
655	54626	28645
656	54710	28562
657	54791	28478
658	54871	28393
659	54952	28309
660	55032	28224
661	55113	28139
662	55195	28055
663	55293	27979
664	55385	27900
665	55472	27819
666	55562	27739
667	55653	27659
668	55746	27581
669	55834	27500
670	55926	27421
671	56015	27340
672	56107	27261
673	56200	27183
674	56298	27106
675	56390	27027
676	56493	26953
677	56587	26874
678	56678	26794
679	56766	26713
680	56852	26631
681	56935	26547
682	57024	26466
683	57103	26381
684	57186	26297
685	57274	26216
686	57357	26132
687	57439	26048
688	57524	25965
689	57605	25880
690	57684	25795
691	57766	25710
692	57849	25627
693	57932	25543
694	58012	25458
695	58094	25374
696	58179	25291
697	58263	25208
698	58348	25125
699	58430	25041
700	58513	24957
701	58599	24875
702	58679	24790
703	58765	24708
704	58846	24623
705	58927	24539
706	59007	24454
707	59086	24369
708	59169	24285
709	59252	24201
710	59337	24118
711	59420	24035
712	59502	23951
713	59586	23868
714	59667	23783
715	59747	23698
716	59828	23614
717	59910	23530
718	59992	23446
719	60085	23366
720	60181	23288
721	60263	23204
722	60354	23123
723	60439	23040
724	60522	22956
725	60607	22873
726	60691	22790
727	60771	22705
728	60853	22621
729	60934	22537
730	61022	22455
731	61103	22371
732	61182	22286
733	61266	22202
734	61353	22120
735	61439	22038
736	61520	21953
737	61601	21869
738	61681	21784
739	61761	21700
740	61842	21615
741	61921	21530
742	62003	21446
743	62085	21362
744	62166	21278
745	62249	21194
746	62334	21111
747	62419	21028
748	62501	20945
749	62585	20861
750	62667	20777
751	62749	20693
752	62830	20609
753	62909	20524
754	62993	20441
755	63076	20358
756	63157	20273
757	63239	20190
758	63321	20106
759	63404	20022
760	63487	19938
761	63570	19855
762	63652	19771
763	63737	19688
764	63819	19604
765	63900	19520
766	63983	19436
767	64064	19352
768	64148	19269
769	64228	19185
770	64311	19101
771	64394	19018
772	64473	18933
773	64558	18850
774	64639	18766
775	64721	18682
776	64804	18598
777	64887	18515
778	64968	18431
779	65052	18348
780	65137	18265
781	65218	18181
782	65299	18096
783	65380	18012
784	65461	17928
785	65543	17845
786	65624	17761
787	65706	17677
788	65785	17592
789	65867	17509
790	65951	17425
791	66030	17341
792	66115	17258
793	66196	17174
794	66276	17090
795	66358	17006
796	66441	16923
797	66520	16838
798	66601	16754
799	66683	16670
800	66764	16586
801	66849	16503
802	66929	16419
803	67008	16335
804	67088	16251
805	67171	16167
806	67253	16084
807	67336	16000
808	67427	15919
809	67516	15837
810	67600	15753
811	67682	15670
812	67764	15586
813	67846	15503
814	67927	15419
815	68009	15335
816	68091	15251
817	68171	15167
818	68256	15084
819	68337	15000
820	68425	14918
821	68503	14834
822	68587	14750
823	68669	14667
824	68751	14583
825	68835	14500
826	68914	14416
827	68997	14332
828	69080	14249
829	69164	14166
830	69241	14081
831	69323	13998
832	69409	13915
833	69490	13831
834	69572	13747
835	69657	13664
836	69740	13581
837	69824	13498
838	69907	13414
839	69989	13331
840	70073	13248
841	70156	13164
842	70240	13081
843	70323	12998
844	70408	12915
845	70491	12831
846	70577	12748
847	70658	12665
848	70738	12581
849	70819	12497
850	70902	12414
851	70987	12331
852	71066	12247
853	71149	12163
854	71232	12080
855	71314	11996
856	71399	11913
857	71484	11830
858	71567	11747
859	71648	11663
860	71731	11580
861	71813	11496
862	71895	11413
863	71977	11329
864	72059	11246
865	72140	11162
866	72221	11078
867	72302	10995
868	72399	10914
869	72481	10830
870	72567	10747
871	72649	10664
872	72731	10580
873	72816	10497
874	72897	10413
875	72981	10330
876	73060	10246
877	73140	10163
878	73225	10079
879	73306	9996
880	73394	9913
881	73478	9830
882	73559	9746
883	73641	9663
884	73721	9579
885	73804	9496
886	73886	9412
887	73968	9329
888	74050	9245
889	74131	9162
890	74211	9078
891	74292	8995
892	74375	8911
893	74456	8828
894	74538	8744
895	74619	8661
896	74703	8578
897	74784	8494
898	74867	8411
899	74950	8327
900	75031	8244
901	75113	8160
902	75197	8077
903	75277	7994
904	75362	7910
905	75444	7827
906	75523	7743
907	75606	7660
908	75684	7576
909	75765	7493
910	75846	7409
911	75930	7326
912	76013	7243
913	76096	7160
914	76180	7076
915	76263	6993
916	76345	6910
917	76425	6826
918	76508	6743
919	76592	6660
920	76675	6576
921	76768	6494
922	76867	6412
923	76950	6329
924	77030	6245
925	77111	6162
926	77195	6079
927	77278	5995
928	77360	5912
929	77444	5829
930	77523	5745
931	77604	5662
932	77681	5578
933	77758	5494
934	77840	5411
935	77927	5328
936	78011	5245
937	78089	5161
938	78169	5078
939	78249	4994
940	78332	4911
941	78417	4828
942	78503	4745
943	78584	4661
944	78667	4578
945	78747	4495
946	78829	4411
947	78913	4328
948	78995	4245
949	79076	4161
950	79161	4078
951	79243	3995
952	79328	3912
953	79410	3829
954	79497	3745
955	79580	3662
956	79660	3579
957	79741	3495
958	79821	3412
959	79905	3329
960	79985	3246
961	80065	3162
962	80149	3079
963	80232	2996
964	80316	2913
965	80399	2829
966	80484	2746
967	80566	2663
968	80647	2580
969	80731	2496
970	80813	2413
971	80894	2330
972	80975	2247
973	81058	2163
974	81142	2080
975	81226	1997
976	81306	1914
977	81387	1830
978	81472	1747
979	81554	1664
980	81633	1581
981	81714	1497
982	81793	1414
983	81877	1331
984	81961	1248
985	82042	1164
986	82124	1081
987	82208	998
988	82290	915
989	82371	832
990	82452	748
991	82533	665
992	82623	582
993	82709	499
994	82791	416
995	82874	332
996	82958	249
997	83041	166
998	83126	83
999	83216	0
